"VESSEL","STATION","LAT_DD","LON_DD","MaleTanner","FemaleTanner","HairCrab","MaleSnow","FemaleSnow","MaleHybrid","FemaleHybrid","Tanner","Snow","Hybrid"
"Vesteraalen","O3",57.468216,-163.569224,1,1,0,0,0,0,0,2,0,0
"Vesteraalen","O2",57.634064,-163.569679,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","P5",57.135942,-163.108454,4,2,1,0,0,0,0,6,0,0
"Vesteraalen","P4",57.30184,-163.106768,2,0,1,0,0,0,0,2,0,0
"Vesteraalen","P3",57.467711,-163.105067,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","P2",57.633556,-163.103349,3,0,0,0,0,0,0,3,0,0
"Vesteraalen","P1",57.799376,-163.101616,1,0,0,0,0,0,0,1,0,0
"Vesteraalen","O1",57.799886,-163.570139,0,0,1,0,0,0,0,0,0,0
"Vesteraalen","N1",57.794907,-164.038592,0,1,0,0,0,0,0,1,0,0
"Vesteraalen","N2",57.62909,-164.03594,0,2,0,0,0,0,0,2,0,0
"Vesteraalen","N3",57.463247,-164.033313,3,1,0,0,0,0,0,4,0,0
"Vesteraalen","N4",57.297379,-164.03071,4,1,0,0,0,0,0,5,0,0
"Vesteraalen","N5",57.131484,-164.028131,4,0,0,0,0,0,0,4,0,0
"Vesteraalen","N6",56.96556,-164.025575,5,0,0,0,0,0,0,5,0,0
"Vesteraalen","N7",56.799607,-164.023043,19,9,0,0,0,0,0,28,0,0
"Vesteraalen","N8",56.633624,-164.020535,18,14,0,0,0,0,0,32,0,0
"Vesteraalen","N9",56.467609,-164.018048,20,24,0,0,0,0,0,44,0,0
"Vesteraalen","N10",56.301562,-164.015585,24,17,0,0,0,0,0,41,0,0
"Vesteraalen","N11",56.135481,-164.013143,24,49,0,0,0,0,0,73,0,0
"Vesteraalen","N12",55.969366,-164.010723,19,19,0,0,0,0,0,38,0,0
"Vesteraalen","N13",55.803215,-164.008325,11,0,0,0,0,0,0,11,0,0
"Vesteraalen","N14",55.637028,-164.005948,17,11,0,0,0,0,0,28,0,0
"Vesteraalen","N15",55.470803,-164.003592,4,6,0,0,0,0,0,10,0,0
"Vesteraalen","N16",55.30454,-164.001257,2,3,1,0,0,0,0,5,0,0
"Vesteraalen","N17",55.138237,-163.998942,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","W1",57.746717,-159.82559,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","W2",57.581135,-159.842626,0,0,0,0,0,0,0,0,0,0
"Vesteraalen","W3",57.415526,-159.859503,0,0,0,0,0,0,0,0,0,0
